resolvers       > globbing > confusing filename, name: 'custMatTransform.py', lower: 'custmattransform.py', already: 'CustMatTransform.py'

resolvers       > globbing > confusing filename, name: 'setCustomAnchor.py', lower: 'setcustomanchor.py', already: 'SetCustomAnchor.py'

resolvers       > globbing > confusing filename, name: 'widg_addLabel.py', lower: 'widg_addlabel.py', already: 'Widg_addLabel.py'

resolvers       > globbing > confusing filename, name: 'widg_addPolyOpt.py', lower: 'widg_addpolyopt.py', already: 'Widg_addPolyOpt.py'

resolvers       > globbing > confusing filename, name: 'widg_editBezier.py', lower: 'widg_editbezier.py', already: 'Widg_editBezier.py'

resolvers       > globbing > confusing filename, name: 'CHANGELOG', lower: 'changelog', already: 'ChangeLog'

resolvers       > globbing > confusing filename, name: 'CHANGELOG', lower: 'changelog', already: 'ChangeLog'

resolvers       > globbing > confusing filename, name: 'NEWS', lower: 'news', already: 'News'

resolvers       > globbing > confusing filename, name: 'NEWS', lower: 'news', already: 'News'

resolvers       > globbing > confusing filename, name: 'NEWS', lower: 'news', already: 'News'

resolvers       > globbing > confusing filename, name: 'LICENSE.TXT', lower: 'license.txt', already: 'LICENSE.txt'

resolvers       > globbing > confusing filename, name: 'LICENSE.TXT', lower: 'license.txt', already: 'LICENSE.txt'

resolvers       > globbing > confusing filename, name: 'LICENSE.TXT', lower: 'license.txt', already: 'LICENSE.txt'

resolvers       > globbing > confusing filename, name: 'FontLog.txt', lower: 'fontlog.txt', already: 'FONTLOG.txt'

resolvers       > globbing > confusing filename, name: 'Changes', lower: 'changes', already: 'CHANGES'

resolvers       > globbing > confusing filename, name: 'Fontlog.txt', lower: 'fontlog.txt', already: 'FONTLOG.txt'

resolvers       > globbing > confusing filename, name: 'Changes', lower: 'changes', already: 'CHANGES'

resolvers       > globbing > confusing filename, name: 'FontLog.txt', lower: 'fontlog.txt', already: 'FONTLOG.txt'

resolvers       > globbing > confusing filename, name: 'Changes', lower: 'changes', already: 'CHANGES'

resolvers       > globbing > confusing filename, name: 'FontLog.txt', lower: 'fontlog.txt', already: 'FONTLOG.txt'

